bld_key,unit_seq,ho_nm,flr_no,ho_nm_source_cd
1022134750,2,2층,2,expos
1022134750,3,지하,1,expos
102215015,1,,,field
102215015,2,,,field
102215015,3,,,field
102215015,4,,,field
102215015,5,,,field
102215015,6,,,field
102215363,1,본가구,1,implicit
10221100224640,1,,,field
10221100224640,2,,,field
10221100224640,3,,,field
10221100224640,4,,,field
102213569,1,1층101호,1,expos
102213569,2,1층102호,1,expos
102213569,3,2층201호,2,expos
102213569,4,2층202호,2,expos
102213569,5,3층301호,3,expos
102213569,6,3층302호,3,expos
102213569,7,4층401호,4,expos
102213569,8,지층B01호,1,expos
102213569,9,지층B02호,1,expos
102213568,1,1층101호,1,expos
102213568,2,2층201호,2,expos
102213568,3,3층301호,3,expos
102213568,4,4층401호,4,expos
102213568,5,지층B01호,1,expos
102213571,1,1층101호,1,expos
102213571,2,1층102호,1,expos
102213571,3,2층201호,2,expos
102213571,4,2층202호,2,expos
102213571,5,3층301호,3,expos
102213571,6,3층302호,3,expos
102213571,7,4층401호,4,expos
102213571,8,4층402호,4,expos
102213571,9,지층B01호,1,expos
102213571,10,지층B02호,1,expos
102213570,1,1층101호,1,expos
102213570,2,1층102호,1,expos
102213570,3,2층201호,2,expos
102213570,4,2층202호,2,expos
102213570,5,3층301호,3,expos
102213570,6,3층302호,3,expos
102213570,7,4층401호,4,expos
102213570,8,4층402호,4,expos
102213570,9,지층B01호,1,expos
1022117225,1,,,field
1022117225,2,,,field
1022117225,3,,,field
1022117225,4,,,field
1022117225,5,,,field
